fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
HIP 91258,b,HIP 91258 b,5.0505,0.06,0.02,346.4347,13.7,0.74,
HIP 97233,b,HIP 97233 b,1058.8,2.55,0.61,6356.3,12.1,19.7,
HN Peg,b,HN Peg b,,773,,6991.57,11.777,23.5,
HR 2562,b,HR 2562 b,,20.3,,9534.9,12.442,27.2,1200
HR 810,b,HR 810 b,302.79999,0.92,0.14,721.4741,13.3,1.69,
HR 8799,b,HR 8799 b,170000,68,,2000,13,5,1200
HR 8799,c,HR 8799 c,69000,38,0.5,3000,13,7.5,1200
HR 8799,d,HR 8799 d,37000,24,0.6,3000,13,7.5,1300
HR 8799,e,HR 8799 e,18000,14.5,,72.7,10.088,0.389,1300
IC 4651 9122,b,IC 4651 9122 b,734,2.038,0.18,2002.329,12.7,5.37,
K2-10,b,K2-10 b,19.3044,0.137,0.31,27,3.84,2.6,703
K2-100,b,K2-100 b,1.673833,0.0296,0.24,12.6,3.59,1.5,1748
K2-101,b,K2-101 b,14.677286,,0.1,4.66,2,3.2,
K2-102,b,K2-102 b,9.915615,,0.1,2.24,1.3,5.6,
K2-104,b,K2-104 b,1.974238,0.023,0.09,4.5,1.96,3.28,
K2-105,b,K2-105 b,8.267704,0.0796,,30,3.37,4.31,814
K2-107,b,K2-107 b,3.313959,0.0475,0,266.9772,15.98,0.35,1649
K2-108,b,K2-108 b,4.733999,0.0581,0.18,59.4,5.33,2.22,1360
K2-11,b,K2-11 b,39.93767,0.2257,,44.4,7.55,0.567,734
K2-110,b,K2-110 b,13.86387,0.1027,0.079,16.7,2.56,5.2,575
K2-111,b,K2-111 b,5.35117,0.0621,0,8.6,1.9,6.6,1309
K2-113,b,K2-113 b,5.817685,0.0642,0,410.0007,12.14,1.97,1098
K2-114,b,K2-114 b,11.391013,0.0954,0,587.9855,10.67,2.99,661
K2-115,b,K2-115 b,20.272615,0.143,0.137,266.9772,12.06,0.82,619
K2-116,b,K2-116 b,4.655411,0.048,0.06,0.257,0.69,4.3,
K2-117,b,K2-117 b,1.2916,0.0189,0.06,4.78,2.03,3.14,868
K2-117,c,K2-117 c,5.444017,0.0492,0.15,4.9,2.06,3.08,537
K2-118,b,K2-118 b,50.92092,0.245,0.2,6.99,2.54,2.34,
K2-119,b,K2-119 b,7.727283,0.0698,0.07,6.94,2.53,2.35,666
K2-12,b,K2-12 b,8.28212,0.0802,,6.04,2.33,2.62,1003
K2-120,b,K2-120 b,9.562742,0.078,0.14,4.7,2.01,3.18,
K2-121,b,K2-121 b,5.185761,0.0525,0.22,43.9,7.5,0.572,723
K2-122,b,K2-122 b,2.219282,0.0285,0.21,1.92,1.21,5.96,814
K2-123,b,K2-123 b,30.951524,0.1649,0.06,8.05,2.76,2.1,338
K2-124,b,K2-124 b,6.413651,0.049,0.08,8.75,2.9,1.97,442
K2-125,b,K2-125 b,21.750264,0.121,0.08,5.39,2.18,2.86,
K2-126,b,K2-126 b,7.385655,0.0656,0.06,4.54,1.97,3.26,601
K2-127,b,K2-127 b,3.588163,0.0411,0.12,52.9,8.37,0.496,809
K2-128,b,K2-128 b,5.675819,0.056,0.23,2.6,1.42,4.99,
K2-129,b,K2-129 b,8.239493,0.057,0.13,1.12,1.04,5.47,
K2-13,b,K2-13 b,39.91488,0.2114,,4.23,1.89,3.44,511
K2-130,b,K2-130 b,2.49412,0.032,0.17,2.1,1.25,5.91,
K2-131,b,K2-131 b,0.36931,0.0095,0,6.5,1.7,6,2062
K2-132,b,K2-132 b,9.1751,0.086,0.36,155.7367,14.572,0.277,
K2-133,b,K2-133 b,3.0712,0.033,,2.27,1.31,5.55,
K2-133,c,K2-133 c,4.8682,0.045,,2.79,1.48,4.73,
K2-133,d,K2-133 d,11.0234,0.077,,4.74,2.02,3.16,
K2-136,b,K2-136 b,7.975292,,0.1,0.937,0.99,5.31,553
K2-136,c,K2-136 c,17.307137,0.11728,0.13,8.8,2.91,1.96,425
K2-136,d,K2-136 d,25.575065,,0.14,2.7,1.45,4.87,373
K2-137,b,K2-137 b,0.179715,0.0058,0,158.915,0.89,,1471
K2-138,b,K2-138 b,2.35322,0.0338,0.403,3.09,1.57,4.39,
K2-138,c,K2-138 c,3.55987,0.04454,0.296,6.9,2.52,2.37,
K2-138,d,K2-138 d,5.40478,0.05883,0.348,7.56,2.66,2.21,
K2-138,e,K2-138 e,8.26144,0.07807,0.315,10.8,3.29,1.67,
K2-138,f,K2-138 f,12.75759,0.1043,0.364,8.3,2.81,2.06,
K2-139,b,K2-139 b,28.380619,0.1796,0.12,123.00021,9.11,0.91,524
K2-14,b,K2-14 b,8.36802,0.0627,0.14,20.7,4.81,1.02,488
K2-140,b,K2-140 b,6.56918,0.0687,0.12,323.86877,12.25,0.963,957
K2-141,b,K2-141 b,0.2803244,0.00716,0,5.08,1.51,8.2,2039
K2-141,c,K2-141 c,7.7485,,0,7.4,7,,
K2-146,b,K2-146 b,2.644661,0.0259,,5.27,2.15,2.91,534
K2-147,b,K2-147 b,0.961917,0.0159,,2.48,1.38,5.19,
K2-148,b,K2-148 b,4.38395,0.0454,,2.33,1.33,5.44,
K2-148,c,K2-148 c,6.9226,0.0616,,3.64,1.73,3.86,
K2-148,d,K2-148 d,9.7579,0.0774,,3.33,1.64,4.15,
K2-149,b,K2-149 b,11.332,0.083,,3.33,1.64,4.15,
K2-15,b,K2-15 b,11.8104,0.091,,6.71,2.48,2.42,676
K2-150,b,K2-150 b,10.59357,0.0727,,4.66,2,3.2,
K2-151,b,K2-151 b,3.835476,0.0373,,2.83,1.49,4.7,566
K2-152,b,K2-152 b,32.6479,0.1716,,5.86,2.29,2.68,337
K2-153,b,K2-153 b,7.51574,0.0614,,4.66,2,3.2,497
K2-154,b,K2-154 b,3.67626,0.0405,,4.62,1.99,3.22,715
K2-154,c,K2-154 c,7.95486,0.0677,,4.94,2.07,3.06,552
K2-155,b,K2-155 b,6.342,0.0562,,3.89,1.8,3.67,708
K2-155,c,K2-155 c,13.85,0.0946,,7.27,2.6,2.27,583
K2-155,d,K2-155 d,40.718,0.1937,,4.27,1.9,3.42,381
K2-156,b,K2-156 b,0.81314,0.0149,,1.6,1.15,5.78,1347
K2-157,b,K2-157 b,0.365257,,,1.18,1.055,5.51,
K2-158,b,K2-158 b,10.06049,0.0887,,7.46,2.64,2.23,794
K2-158,c,K2-158 c,5.90279,0.0622,,2.18,1.28,5.71,948
K2-159,b,K2-159 b,12.42205,0.1013,,5.73,2.26,2.73,684
K2-16,b,K2-16 b,7.6188,0.0667,,4.74,2.02,3.16,658
K2-16,c,K2-16 c,19.07863,0.1229,,6.99,2.54,2.34,485
K2-160,b,K2-160 b,3.705871,,,10.2,3.178,1.75,
K2-161,b,K2-161 b,9.283188,,,31.1,6.117,0.747,
K2-162,b,K2-162 b,9.45889,0.0795,,2.67,1.44,4.91,631
K2-163,b,K2-163 b,6.673117,,,6.65,2.466,2.44,
K2-164,b,K2-164 b,17.355066,,,10.6,3.249,1.7,
K2-165,b,K2-165 b,2.354992,,,2.17,1.274,5.76,
K2-165,c,K2-165 c,4.382745,,,3.03,1.554,4.44,
K2-165,d,K2-165 d,14.101361,,,7.5,2.648,2.22,
K2-166,b,K2-166 b,8.52695,0.0858,,5.43,2.19,2.84,1140
K2-167,b,K2-167 b,9.977481,,,8.34,2.819,2.05,
K2-168,b,K2-168 b,15.853989,,,5.24,2.144,2.92,
K2-169,b,K2-169 b,6.380803,,,2.16,1.273,5.75,
K2-17,b,K2-17 b,17.96753,0.119,0.18,5.6,2.23,2.77,487
K2-170,b,K2-170 b,7.576544,,,2.6,1.418,5.01,
K2-170,c,K2-170 c,12.400047,,,3.9,1.802,3.66,
K2-171,b,K2-171 b,5.628466,,,7.69,2.687,2.18,
K2-172,b,K2-172 b,14.316941,,,3.42,1.666,4.06,
K2-172,c,K2-172 c,29.62682,,,10.4,3.206,1.73,
K2-173,b,K2-173 b,5.868699,,,3.22,1.608,4.25,
K2-174,b,K2-174 b,19.562307,0.126,,7.27,2.6,2.27,455
K2-175,b,K2-175 b,9.525988,,,4.81,2.038,3.12,
K2-176,b,K2-176 b,5.329439,,,2.83,1.491,4.69,
K2-177,b,K2-177 b,14.155185,,,5.13,2.116,2.97,
K2-178,b,K2-178 b,8.747818,,,12.4,3.558,1.51,
K2-179,b,K2-179 b,5.172191,,,6.86,2.513,2.38,
K2-18,b,K2-18 b,32.939623,0.1429,0.2,8.92,2.37,4.11,284
K2-18,c,K2-18 c,8.962,0.06,0.47,7.51,2.65,2.22,363
K2-180,b,K2-180 b,8.867209,0.0753,,5.95,2.31,2.65,731
K2-181,b,K2-181 b,6.894256,0.0706,,8.45,2.84,2.03,962
K2-182,b,K2-182 b,4.736837,0.0529,,8.05,2.76,2.1,885
K2-183,b,K2-183 b,0.469269,,,7.27,2.599,2.27,
K2-183,c,K2-183 c,10.792635,0.0932,,8.6,2.87,2,787
K2-183,d,K2-183 d,22.631964,0.1527,,8.55,2.86,2.01,615
K2-184,b,K2-184 b,16.995731,0.1229,,3.02,1.55,4.46,580
K2-185,b,K2-185 b,10.616646,,,2.28,1.313,5.54,
K2-186,b,K2-186 b,41.474219,,,10.2,3.172,1.76,
K2-187,b,K2-187 b,0.77392,0.0164,,2.24,1.3,5.6,1815
K2-187,c,K2-187 c,2.872042,0.0392,,3.89,1.8,3.67,1173
K2-187,d,K2-187 d,7.14921,0.072,,10.2,3.17,1.76,865
K2-187,e,K2-187 e,13.609878,0.1106,,6.26,2.38,2.55,698
K2-188,b,K2-188 b,1.742169,0.0289,,2.39,1.35,5.34,1692
K2-188,c,K2-188 c,7.810253,0.0785,,8.4,2.83,2.04,1026
K2-189,b,K2-189 b,2.588309,0.0361,,2.92,1.52,4.57,1197
K2-189,c,K2-189 c,6.679195,0.068,,6.8,2.5,2.39,872
K2-19,b,K2-19 b,7.9194,0.074,0.119,28.5,7.74,0.334,854
K2-19,c,K2-19 c,11.90715,0.0971,0,15.9,4.86,0.94,745
K2-19,d,K2-19 d,2.50856,0.0344,0,14,1.14,51.4,1252
K2-190,b,K2-190 b,10.098858,,,2.41,1.357,5.3,
K2-190,c,K2-190 c,21.574023,,,1.34,1.093,5.64,
K2-191,b,K2-191 b,2.858646,,,3.12,1.579,4.36,
K2-192,b,K2-192 b,4.162817,0.049,,2.92,1.52,4.57,939
K2-193,b,K2-193 b,14.786889,0.1184,,14.8,3.95,1.32,739
K2-194,b,K2-194 b,39.721386,,,12.9,3.642,1.47,
K2-195,b,K2-195 b,15.852975,0.1208,,9.96,3.13,1.78,720
K2-195,c,K2-195 c,28.482786,,,7.16,2.576,2.3,
K2-196,b,K2-196 b,48.324222,,,12.6,3.6,1.48,
K2-197,b,K2-197 b,8.357881,0.0806,,7.08,2.56,2.32,848
K2-198,b,K2-198 b,17.043179,,,15.9,4.119,1.25,
K2-199,b,K2-199 b,3.225338,0.0385,,4.16,1.87,3.5,861
K2-199,c,K2-199 c,7.374694,0.0668,,8.15,2.78,2.08,653
K2-200,b,K2-200 b,2.849883,,,2.43,1.364,5.26,
K2-201,b,K2-201 b,1.05979,,,2.54,1.4,5.09,
K2-201,c,K2-201 c,22.779878,,,10.8,3.286,1.67,
K2-202,b,K2-202 b,3.405164,,,5.91,2.302,2.66,
K2-203,b,K2-203 b,9.695101,,,2.45,1.371,5.23,
K2-204,b,K2-204 b,7.055784,,,9.51,3.046,1.85,
K2-205,b,K2-205 b,26.672263,,,4.64,1.996,3.21,
K2-206,b,K2-206 b,18.294549,,,8.22,2.795,2.07,
K2-207,b,K2-207 b,12.48749,,,7.3,2.606,2.27,
K2-208,b,K2-208 b,4.190948,,,3.46,1.679,4.02,
K2-209,b,K2-209 b,2.080615,,,0.586,0.869,4.92,
K2-21,b,K2-21 b,9.325038,0.076,0.1,4.04,1.84,2.7,500
K2-21,c,K2-21 c,15.50192,0.107,0.21,6.76,2.49,5.4,420
K2-210,b,K2-210 b,0.570233,,,0.474,0.819,4.75,
K2-211,b,K2-211 b,0.669558,,,2.46,1.375,5.2,
K2-212,b,K2-212 b,9.79551,0.0785,,6.9,2.52,2.37,542
K2-213,b,K2-213 b,8.13087,,,2.9,1.514,4.59,
K2-214,b,K2-214 b,8.596802,0.0834,,6.48,2.43,2.48,1006
K2-215,b,K2-215 b,8.269648,,,5.16,2.124,2.96,
K2-216,b,K2-216 b,2.1748,0.028,0,8,1.75,8.2,1103
K2-217,b,K2-217 b,14.074524,,,12.5,3.579,1.5,
K2-218,b,K2-218 b,8.679885,,,7.13,2.569,2.31,
K2-219,b,K2-219 b,3.901287,,,2.38,1.348,5.34,
K2-219,c,K2-219 c,6.66767,,,2.66,1.438,4.91,
K2-219,d,K2-219 d,11.137278,,,7.16,2.576,2.3,
K2-22,b,K2-22 b,0.381078,0.0088,0.19,444.962,2.5,,2100
K2-220,b,K2-220 b,13.683256,0.1104,,6.3,2.39,2.54,758
K2-221,b,K2-221 b,2.399094,,,3.46,1.679,4.02,
K2-222,b,K2-222 b,15.387063,0.1211,,6.3,2.39,2.54,801
K2-223,b,K2-223 b,0.50565,0.0127,,0.64,0.89,4.99,2271
K2-223,c,K2-223 c,4.56327,0.0549,,3.09,1.57,4.39,1091
K2-224,b,K2-224 b,4.47904,0.0516,,3.05,1.56,4.41,1002
K2-224,c,K2-224 c,10.09489,0.0886,,6.39,2.41,2.51,764
K2-225,b,K2-225 b,15.87209,0.134,,12,3.49,1.55,902
K2-226,b,K2-226 b,3.27108,0.0413,,2.99,1.54,4.5,1120
K2-227,b,K2-227 b,13.621832,,,3.41,1.666,4.06,
K2-228,b,K2-228 b,2.69828,0.0338,,1.92,1.21,5.96,914
K2-229,b,K2-229 b,0.58426,0.0131,0,2.59,1.14,8.9,1818
K2-229,c,K2-229 c,8.32727,0.0769,0,21.3,2.03,12.8,750
K2-230,b,K2-230 b,2.86041,0.0409,,4.5,1.96,3.28,1529
K2-231,b,K2-231 b,13.841901,,,6.8,2.5,2.39,
K2-232,b,K2-232 b,11.168454,0.10356,0.258,126.49634,11.209,0.405,1030
K2-233,b,K2-233 b,2.46746,0.03317,0,2.54,1.398,5.11,1040
K2-233,c,K2-233 c,7.06142,0.06687,0,2.34,1.335,5.4,728
K2-233,d,K2-233 d,24.3662,0.1527,0,7.46,2.64,2.23,482
K2-237,b,K2-237 b,2.18056,0.037,0,508.528,18.495,0.44,1884
K2-238,b,K2-238 b,3.20466,0.046,0,273.3338,14.572,0.56,1587
K2-239,b,K2-239 b,5.24,0.0441,,1.37,1.1,5.66,502
K2-239,c,K2-239 c,7.775,0.0576,,0.972,1,5.34,427
K2-239,d,K2-239 d,10.115,0.0685,,1.37,1.1,5.66,399
K2-24,b,K2-24 b,20.88977,0.154,0.06,19,5.4,0.64,709
K2-24,c,K2-24 c,42.3391,0.247,0.07,15.4,7.5,0.2,560
K2-240,b,K2-240 b,6.034,0.0513,,4.66,2,3.2,586
K2-240,c,K2-240 c,20.523,0.1159,,3.89,1.8,3.67,389
K2-241,b,K2-241 b,26.8199,0.1567,,7.04,2.55,2.33,507
K2-242,b,K2-242 b,6.51389,0.0494,,6.99,2.54,2.34,416
K2-243,b,K2-243 b,11.54182,0.1087,,5.35,2.17,2.88,1035
K2-243,c,K2-243 c,24.94598,0.1817,,4.7,2.01,3.18,801
K2-244,b,K2-244 b,21.06884,0.1418,,3.71,1.75,3.8,638
K2-245,b,K2-245 b,11.89307,0.0959,,17.4,4.34,1.17,923
K2-246,b,K2-246 b,5.76918,0.0602,,12,3.49,1.55,977
K2-247,b,K2-247 b,2.25021,0.0304,,5.14,2.12,2.96,979
K2-247,c,K2-247 c,6.49424,0.0615,,5.43,2.19,2.84,688
K2-248,b,K2-248 b,7.17256,0.0699,,7.13,2.57,2.31,886
K2-249,b,K2-249 b,12.409,0.1151,,8.2,2.79,2.07,1061
K2-25,b,K2-25 b,3.484552,,0.27,11.6,3.43,1.58,
K2-250,b,K2-250 b,4.01457,0.0459,,6.53,2.44,2.47,958
K2-251,b,K2-251 b,9.30075,0.0694,,6.12,2.35,2.59,437
K2-252,b,K2-252 b,13.81513,0.1041,,3.68,1.74,3.84,639
K2-253,b,K2-253 b,4.00167,0.0506,,,12.67,,1238
K2-254,b,K2-254 b,4.09639,0.0448,,3.29,1.63,4.17,791
K2-254,c,K2-254 c,12.11839,0.0923,,5.43,2.19,2.84,551
K2-255,b,K2-255 b,1.96417,0.0274,,8.75,2.9,1.97,1034
K2-256,b,K2-256 b,5.52011,0.0578,,7.41,2.63,2.24,845
K2-257,b,K2-257 b,1.60588,0.0216,,0.498,0.83,4.79,789
K2-258,b,K2-258 b,19.0921,0.149,,9.27,3,1.89,831
K2-259,b,K2-259 b,15.48043,0.1271,,5.99,2.32,2.64,795
K2-26,b,K2-26 b,14.5665,0.0962,,7.61,2.67,2.2,430
K2-260,b,K2-260 b,2.6266657,0.0404,0,451.3186,17.396,0.5,1957
K2-261,b,K2-261 b,11.63344,0.102,0.39,70.87609,9.528,0.483,1080
K2-263,b,K2-263 b,50.818947,0.2573,0.14,14.8,2.41,5.7,470
K2-264,b,K2-264 b,5.840002,0.05023,0.5,5.61,2.231,2.78,496
K2-264,c,K2-264 c,19.660302,0.11283,0.45,7.6,2.668,2.2,331
K2-265,b,K2-265 b,2.369172,0.03376,0.084,6.54,1.71,7.1,
K2-266,b,K2-266 b,0.658524,0.01306,,11.3,3.3,1.77,1515
K2-266,c,K2-266 c,7.814,0.0679,0.042,0.29,0.705,4.51,665
K2-266,d,K2-266 d,14.697,0.1035,0.047,9.4,2.93,2.03,538
K2-266,e,K2-266 e,19.482,0.1249,0.043,8.3,2.73,2.21,490
K2-268,b,K2-268 b,2.151894,0.0308,,2.57,1.41,5.04,1121
K2-268,c,K2-268 c,9.326841,0.0819,,7.7,2.69,2.17,688
K2-269,b,K2-269 b,4.144965,0.0531,,3.09,1.57,4.39,1429
K2-27,b,K2-27 b,6.771315,0.06702,0.251,30.9,4.48,1.87,902
K2-270,b,K2-270 b,1.543069,0.0247,,2.48,1.38,5.19,1203
K2-270,c,K2-270 c,4.400028,0.0497,,9.01,2.95,1.93,848
K2-271,b,K2-271 b,8.562421,0.077,,41.8,7.28,0.595,893
K2-272,b,K2-272 b,14.453533,0.1081,,8.8,2.91,1.96,655
K2-273,b,K2-273 b,11.716332,0.0974,,17.9,4.42,1.14,672
K2-274,b,K2-274 b,14.129714,0.1064,,5.48,2.2,2.83,589
K2-275,b,K2-275 b,3.280961,0.04,,5.65,2.24,2.76,905
K2-275,c,K2-275 c,8.438756,0.075,,6.08,2.34,2.61,660
K2-276,b,K2-276 b,18.718269,0.1291,,13.7,3.77,1.4,583
K2-277,b,K2-277 b,6.326763,0.0675,,4.94,2.07,3.06,958
K2-278,b,K2-278 b,3.334966,0.0488,,9.17,2.98,1.9,1711
K2-279,b,K2-279 b,7.122605,0.067,,1.92,1.21,5.96,879
K2-28,b,K2-28 b,2.260455,0.0214,0,5.99,2.32,2.64,568
K2-280,b,K2-280 b,19.895202,0.1488,,45.6,7.67,0.555,744
K2-281,b,K2-281 b,8.687721,0.0773,,50.9,8.18,0.511,665
K2-282,b,K2-282 b,4.169836,0.0499,,8.35,2.82,2.05,1057
K2-283,b,K2-283 b,1.921036,0.0291,,12.2,3.52,1.54,1186
K2-284,b,K2-284 b,4.795069,0.04771,0.078,8.15,2.78,2.08,653
K2-285,b,K2-285 b,3.471745,0.03817,0,9.68,2.59,3.07,1089
K2-285,c,K2-285 c,7.138048,0.0824,0,15.68,3.53,1.95,741
K2-285,d,K2-285 d,10.45582,0.1178,0,6.5,2.48,,620
K2-285,e,K2-285 e,14.76289,0.18041,0,10.7,1.95,,501
K2-286,b,K2-286 b,27.359,0.1768,,5.06,2.1,3,347
K2-287,b,K2-287 b,14.893291,0.1206,0.478,100.11645,9.494,0.643,804
K2-288 B,b,K2-288 B b,31.393463,0.164,,4.27,1.9,3.42,226
K2-289,b,K2-289 b,13.156969,0.107,,61,9.1,0.445,753
K2-29,b,K2-29 b,3.2588321,0.04217,0.066,232.0159,13.339,0.53,1171
K2-290,b,K2-290 b,9.21165,0.0923,0,10.9,3.06,4.1,1230
K2-290,c,K2-290 c,48.36685,0.305,0,246.00042,11.276,1.01,676
K2-291,b,K2-291 b,2.225177,0.03261,0,6.49,1.589,8.84,
K2-3,b,K2-3 b,10.05449,0.0769,0.06,8.1,2.18,4.32,463
K2-3,c,K2-3 c,24.64354,0.1399,0.04,2.1,1.85,1.82,344
K2-3,d,K2-3 d,44.55983,0.2076,0.045,7.5,1.51,17.5,282
K2-30,b,K2-30 b,4.098503,0.04839,0,184.02357,11.646,0.64,1092
K2-31,b,K2-31 b,1.25785,0.022,0,563.83042,11.882,1.85,
K2-32,b,K2-32 b,8.99213,0.08036,0,16.5,5.13,0.67,817
K2-32,c,K2-32 c,20.6602,0.1399,0,12.1,3.01,2.7,619
K2-32,d,K2-32 d,31.7154,0.1862,0,10.3,3.43,1.38,537
K2-33,b,K2-33 b,5.424865,0.0409,0,1175.971,5.04,,850
K2-34,b,K2-34 b,2.995633,0.0426,0,539.67534,13.96,0.94,1559
K2-35,b,K2-35 b,5.608352,0.055,0.12,4.38,1.93,3.35,979
K2-35,c,K2-35 c,2.399964,0.031,0.13,2.3,1.32,5.5,737
K2-36,b,K2-36 b,1.42266,0.023,,2.3,1.32,5.5,1232
K2-36,c,K2-36 c,5.34059,0.0555,,8.25,2.8,2.07,793
K2-37,b,K2-37 b,4.44117,0.0511,,3.22,1.61,4.24,974
K2-37,c,K2-37 c,6.42904,0.0654,,8,2.75,2.11,861
K2-37,d,K2-37 d,14.09189,0.1103,,7.9,2.73,2.13,663
K2-38,b,K2-38 b,4.01593,0.05073,,19.0698,1.906,17.5,1184
K2-38,c,K2-38 c,10.56103,0.0964,,9.9,2.42,3.6,858
K2-39,b,K2-39 b,4.60543,0.05708,0,28.6047,6.277,0.5,1670
K2-4,b,K2-4 b,10.003417,0.078,0.08,5.06,2.1,3,563
K2-42,b,K2-42 b,6.68796,0.0617,,5.27,2.15,2.91,
K2-43,b,K2-43 b,3.471341,0.038,0.07,20.2,4.75,1.04,
K2-44,b,K2-44 b,5.65688,0.0651,,7.85,2.72,2.14,
K2-45,b,K2-45 b,1.7292684,0.0224,0.1,36.4,6.71,0.662,
K2-46,b,K2-46 b,19.1541,0.13821,,4.86,2.05,3.1,
K2-47,b,K2-47 b,31.6372,0.1779,,4.23,1.89,3.44,
K2-48,b,K2-48 b,20.5065,0.1344,,5.65,2.24,2.76,
K2-49,b,K2-49 b,2.77065,0.0309,,4.38,1.93,3.35,
K2-5,b,K2-5 b,5.73594,0.0532,,4.31,1.91,3.4,565
K2-5,c,K2-5 c,10.93241,0.0818,,5.73,2.26,2.73,456
K2-50,b,K2-50 b,8.7529,0.0705,,3.15,1.59,4.31,
K2-52,b,K2-52 b,3.535055,0.054,,45700,18,43.1,2004
K2-53,b,K2-53 b,12.20772,0.098,,7.27,2.6,2.27,665
K2-54,b,K2-54 b,9.7843,0.0671,,1.6,1.15,5.78,
K2-55,b,K2-55 b,2.849258,0.03486,0.07,14,3.82,1.38,
K2-57,b,K2-57 b,9.0063,0.0746,,5.06,2.1,3,
K2-58,b,K2-58 b,7.05254,0.0692,,7.65,2.68,2.18,
K2-58,c,K2-58 c,2.53726,0.035,,3.26,1.62,4.21,
K2-58,d,K2-58 d,22.8827,0.1517,,3.57,1.71,3.92,
K2-59,b,K2-59 b,20.6921,0.1354,,6.39,2.41,2.51,
K2-59,c,K2-59 c,11.2954,0.0905,,5.9,2.3,2.66,
K2-6,b,K2-6 b,30.94191,0.1898,,6.8,2.5,2.39,615
K2-60,b,K2-60 b,3.00265,0.045,0,135.39558,7.656,1.7,1400
K2-61,b,K2-61 b,2.57302,0.0392,,6.71,2.48,2.42,
K2-62,b,K2-62 b,6.67202,0.0636,,5.22,2.14,2.93,
K2-62,c,K2-62 c,16.1966,0.1148,,5.22,2.14,2.93,
K2-63,b,K2-63 b,20.257,0.1627,,10.5,3.22,1.73,
K2-64,b,K2-64 b,6.53044,0.0619,,4.94,2.07,3.06,
K2-65,b,K2-65 b,12.6475,0.1014,,3.12,1.58,4.35,
K2-66,b,K2-66 b,5.06963,0.05983,,21.3,2.49,7.8,1372
K2-68,b,K2-68 b,8.05428,0.0708,,3.12,1.58,4.35,
K2-69,b,K2-69 b,7.06599,0.0591,,5.99,2.32,2.64,
K2-7,b,K2-7 b,28.67992,0.1814,,7.61,2.67,2.2,651
K2-70,b,K2-70 b,13.97896,0.1112,,8.7,2.89,1.98,
K2-71,b,K2-71 b,6.98541,0.0559,,5.27,2.15,2.91,
K2-72,b,K2-72 b,5.577212,0.04,0.11,1.28,1.08,5.58,
K2-72,c,K2-72 c,15.189034,0.078,0.11,1.65,1.16,5.81,
K2-72,d,K2-72 d,7.760178,0.05,0.11,1.01,1.01,5.39,
K2-72,e,K2-72 e,24.158868,0.106,0.11,2.21,1.29,5.66,
K2-73,b,K2-73 b,7.49543,0.07619,,6.57,2.45,2.45,
K2-74,b,K2-74 b,19.5666,0.1402,,5.95,2.31,2.65,
K2-75,b,K2-75 b,7.8142,0.081,,7.61,2.67,2.2,
K2-75,c,K2-75 c,18.311,0.1429,,8.1,2.77,2.09,
K2-77,b,K2-77 b,8.199796,0.076,0.14,603.877,2.3,,
K2-79,b,K2-79 b,10.99573,0.0987,,13.2,3.69,1.44,
K2-8,b,K2-8 b,10.35239,0.0856,,12.5,3.58,1.5,631
K2-8,c,K2-8 c,5.06416,0.0532,,6.39,2.41,2.51,801
K2-80,b,K2-80 b,19.0918,0.135,,4.7,2.01,3.18,
K2-80,c,K2-80 c,5.605,0.0596,,2.76,1.47,4.77,
K2-80,d,K2-80 d,28.867253,,,7.04,2.552,2.33,
K2-81,b,K2-81 b,6.102325,0.059,0.06,4.54,1.97,3.26,
K2-83,b,K2-83 b,2.74697,0.03014,0.07,2.08,1.244,5.94,
K2-83,c,K2-83 c,9.99767,0.07131,0.06,2.8,1.483,4.72,
K2-84,b,K2-84 b,6.4215,0.0665,,6.39,2.41,2.51,
K2-84,c,K2-84 c,27.86,0.1768,,4.78,2.03,3.14,
K2-85,b,K2-85 b,0.684533,0.01263,0.24,1.01,1.01,5.39,
K2-86,b,K2-86 b,8.77683,0.077,,4.5,1.96,3.28,
K2-87,b,K2-87 b,9.726618,0.094,,44.9,7.6,0.562,979
K2-88,b,K2-88 b,4.6122,0.0345,0.26,2.04,1.23,6.02,
K2-89,b,K2-89 b,1.096026,0.01462,0.15,0.17,0.615,4.02,
K2-9,b,K2-9 b,18.4498,0.091,,5.69,2.25,2.74,314
K2-90,b,K2-90 b,13.733314,0.096,0.07,7.27,2.6,2.27,502
K2-90,c,K2-90 c,2.900706,0.035,0.19,2.24,1.3,5.6,
K2-91,b,K2-91 b,1.419549,0.0164,0.09,1.37,1.1,5.66,
K2-95,b,K2-95 b,10.134016,0.0696,0.16,10.99,3.88,1.03,383
K2-97,b,K2-97 b,8.406726,0.086,0.22,152.5584,10.61,0.702,1499
K2-98,b,K2-98 b,10.136448,0.0974,0,32.2,5.2,2.15,1092
K2-99,b,K2-99 b,18.251985,0.1597,0.19,308.2951,11.73,1.05,1113
KELT-1,b,KELT-1 b,1.217514,0.02466,0.0099,8654.15,12.442,24.7,
KELT-10,b,KELT-10 b,4.1662739,0.0525,,215.80657,15.681,0.308,1377
KELT-11,b,KELT-11 b,4.7361,0.06229,0.0007,54.34893,15.132,0.093,1712
KELT-12,b,KELT-12 b,5.031623,0.06708,0,301.9385,19.952,0.209,1800
KELT-14,b,KELT-14 b,1.7100566,0.03005,0,408.09372,19.537,0.322,1970
