fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
HD 175607,b,HD 175607 b,29.01,,0.11,8.98,2.94,1.94,
HD 17674,b,HD 17674 b,623.8,1.42,0.13,276.5121,13.9,0.566,
HD 176986,b,HD 176986 b,6.4898,0.06296,0.066,5.74,2.26,2.73,
HD 176986,c,HD 176986 c,16.8191,0.11878,0.111,9.18,2.98,1.91,
HD 177565,b,HD 177565 b,44.505,0.246,0.0593,15.1,4,1.3,
HD 177830,b,HD 177830 b,410.10001,1.14,0.1,537.1327,13.5,1.2,
HD 177830,c,HD 177830 c,110.9,0.5137,0.3,47.6725,7.87,0.537,
HD 178911 B,b,HD 178911 B b,71.484,0.34,0.11,2552.1749,12.6,7.01,
HD 179079,b,HD 179079 b,14.479,0.1214,0.049,25.74423,5.48,0.86,
HD 179949,b,HD 179949 b,3.092514,0.0443,0.022,291.12,13.9,0.596,
HD 180053,b,HD 180053 b,213.72,0.843,0.081,697.31902,13.3,1.63,
HD 18015,b,HD 18015 b,2278,3.87,0.148,1010.6994,13.1,2.47,
HD 180314,b,HD 180314 b,396.03,1.46,0.26,6397.9179,12.1,19.8,
HD 180902,b,HD 180902 b,510.9,1.4,0.107,535.54355,13.5,1.2,
HD 181342,b,HD 181342 b,564.1,1.592,0.022,807.2882,13.2,1.93,
HD 181433,b,HD 181433 b,9.3743,0.08,0.4,6.3566,2.4,2.53,
HD 181433,c,HD 181433 c,962,1.76,0.28,203,14.1,0.398,
HD 181433,d,HD 181433 d,2172,3,0.48,171,14.2,0.328,
HD 181720,b,HD 181720 b,956,1.85,0.26,127.132,14,0.255,
HD 183263,b,HD 183263 b,626.51599,1.49,0.36,1255.4285,13,3.14,
HD 183263,c,HD 183263 c,3070,4.35,0.239,1134.61,13,2.84,
HD 185269,b,HD 185269 b,6.83776,0.077,0.229,321.0083,13.8,0.671,
HD 187085,b,HD 187085 b,986,2.05,0.47,238.36,14,0.477,
HD 187123,b,HD 187123 b,3.0965828,0.0426,0.0103,166.218,14.2,0.319,
HD 187123,c,HD 187123 c,3810,4.89,0.252,632.46,13.4,1.44,
HD 18742,b,HD 18742 b,766,1.82,0.04,1080.622,13.1,2.64,
HD 188015,b,HD 188015 b,461.2,1.203,0.137,476.72,13.6,1.04,
HD 189733,b,HD 189733 b,2.21857567,0.0313,0,359.1479,12.666,0.943,1201
HD 190360,b,HD 190360 b,2915.03687,3.97,0.31,489.4582,13.5,1.09,
HD 190360,c,HD 190360 c,17.111,0.1304,0.237,19.069,4.59,1.08,
HD 190647,b,HD 190647 b,1038.09998,2.07,0.18,616.5902,13.4,1.41,
HD 190984,b,HD 190984 b,4885,5.5,0.57,985.2,13.1,2.41,
HD 191806,b,HD 191806 b,1606.3,2.8,0.259,2707.9116,12.6,7.44,
HD 192263,b,HD 192263 b,24.3556,0.15,0.05,177.9848,14.2,0.342,486
HD 192310,b,HD 192310 b,74.72,0.32,0.13,16.9,4.27,1.19,355
HD 192310,c,HD 192310 c,525.8,1.18,0.32,24,5.25,0.911,185
HD 192699,b,HD 192699 b,340.94,1.063,0.082,666.17168,13.4,1.52,
HD 195019,b,HD 195019 b,18.20132,0.14,0.01,1264.9634,13,3.16,
HD 196050,b,HD 196050 b,1378,2.51,0.23,1010.6994,13.1,2.47,
HD 196067,b,HD 196067 b,3638,5.02,0.66,2192.9,12.7,5.88,
HD 196885,b,HD 196885 b,1333,2.37,0.48,819.97,13.2,1.96,
HD 197037,b,HD 197037 b,1035.7,2.07,0.22,251,13.9,0.514,
HD 19994,b,HD 19994 b,466.2,1.305,0.063,435.41,13.6,0.951,
HD 20003,b,HD 20003 b,11.8482,0.0974,0.36,11.66,3.43,1.59,
HD 20003,c,HD 20003 c,33.9239,0.1964,0.1,14.44,3.89,1.35,
HD 200964,b,HD 200964 b,606.3,1.565,0.087,508.21017,13.5,1.14,
HD 200964,c,HD 200964 c,852.5,1.96,0.243,385.84562,13.7,0.825,
HD 202206,c,HD 202206 c,1260,2.41,0.22,5689.157,12.2,17.2,
HD 202696,b,HD 202696 b,517.8,1.566,0.011,634.38868,,,
HD 202696,c,HD 202696 c,946.6,2.342,0.028,592.43512,,,
HD 202772 A,b,HD 202772 A b,3.308958,0.05208,0.038,323.23311,17.318,0.343,2132
HD 203030,b,HD 203030 b,,487.1,,7656.097,12,24.3,1206
HD 203473,b,HD 203473 b,1552.9,2.73,0.289,2479.074,12.6,6.81,
HD 2039,b,HD 2039 b,1120,2.2,0.71,1999.1507,12.7,5.36,
HD 204313,b,HD 204313 b,1920.09998,3.07,0.23,1099.6918,13.1,2.69,
HD 204313,c,HD 204313 c,34.905,0.2099,0.155,17.6,4.38,1.15,
HD 204941,b,HD 204941 b,1733,2.55,0.37,73.1009,10.1,0.39,
HD 205739,b,HD 205739 b,279.8,0.896,0.27,435.41,13.6,0.951,
HD 206610,b,HD 206610 b,673.2,1.74,0.1,647.10188,13.4,1.48,
HD 20781,b,HD 20781 b,5.3135,0.0529,0.1,1.93,1.21,5.99,
HD 20781,c,HD 20781 c,13.8905,0.1004,0.09,5.33,2.17,2.87,
HD 20781,d,HD 20781 d,29.158,0.1647,0.11,10.61,3.25,1.7,
HD 20781,e,HD 20781 e,85.5073,0.3374,0.06,14.03,3.83,1.37,
HD 20782,b,HD 20782 b,597.0643,1.3649,0.95,472.83,13.6,1.03,
HD 207832,b,HD 207832 b,160.07,0.586,0.197,177.9848,14.2,0.342,
HD 207832,c,HD 207832 c,1155.7,2.112,0.27,232.0159,14,0.465,
HD 20794,b,HD 20794 b,18.315,0.1207,0,2.7,1.45,4.87,660
HD 20794,c,HD 20794 c,40.114,0.2036,0,2.4,1.35,5.36,508
HD 20794,d,HD 20794 d,90.309,0.3499,0,4.8,2.04,3.11,388
HD 20794,e,HD 20794 e,147.02,0.509,0.29,4.77,2.03,3.13,
HD 208487,b,HD 208487 b,130.08,0.524,0.24,165.265,14.2,0.317,
HD 208527,b,HD 208527 b,875.5,2.1,0.08,3146.4,12.5,8.85,
HD 20868,b,HD 20868 b,380.85001,0.95,0.75,397.2875,13.7,0.849,
HD 208897,b,HD 208897 b,352.7,1.05,0.07,444.962,13.6,0.972,
HD 209458,b,HD 209458 b,3.52474859,0.04707,0,232.0159,15.581,0.362,1459
HD 210277,b,HD 210277 b,442.19,1.13,0.48,410.0007,13.6,0.896,
HD 210702,b,HD 210702 b,354.1,1.148,0.028,574.63664,13.4,1.31,
HD 211810,b,HD 211810 b,1558,2.656,0.68,212.9461,14,0.426,
HD 212301,b,HD 212301 b,2.24571,0.03,0,162.0933,14.2,0.311,
HD 212771,b,HD 212771 b,380.7,1.19,0.076,759.6137,13.3,1.77,
HD 213240,b,HD 213240 b,882.70001,1.89,0.42,1773.4914,12.8,4.65,
