loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_eqt
2221,Kepler-197,c,Kepler-197 c,10.34969500,5.30000,1.230,
2222,Kepler-197,d,Kepler-197 d,15.67756300,1.98000,1.220,
2223,Kepler-197,e,Kepler-197 e,25.20971500,0.69300,0.910,
2224,Kepler-198,b,Kepler-198 b,17.79003700,8.35000,2.820,
2225,Kepler-198,c,Kepler-198 c,49.56741600,6.66000,2.470,
2226,Kepler-198,d,Kepler-198 d,1.31184443,2.96000,1.530,
2227,Kepler-199,b,Kepler-199 b,23.63760400,9.85000,3.110,
2228,Kepler-199,c,Kepler-199 c,67.09340800,10.60000,3.250,
2229,Kepler-20,b,Kepler-20 b,3.69611525,9.70000,1.868,1105
2230,Kepler-20,c,Kepler-20 c,10.85409089,12.75000,3.047,772
2231,Kepler-20,d,Kepler-20 d,77.61130017,10.07000,2.744,401
2232,Kepler-20,e,Kepler-20 e,6.09852281,3.08000,0.865,1040
2233,Kepler-20,f,Kepler-20 f,19.57758478,14.30000,1.003,705
2234,Kepler-20,g,Kepler-20 g,34.94000000,19.96000,4.710,524
2235,Kepler-200,b,Kepler-200 b,8.59480500,5.18000,2.130,
2236,Kepler-200,c,Kepler-200 c,10.22215700,3.15000,1.590,
2237,Kepler-201,b,Kepler-201 b,25.67208300,6.62000,2.460,
2238,Kepler-201,c,Kepler-201 c,151.88405800,8.50000,2.850,
2239,Kepler-202,b,Kepler-202 b,4.06942700,3.29000,1.630,
2240,Kepler-202,c,Kepler-202 c,16.28249300,4.08000,1.850,
2241,Kepler-203,b,Kepler-203 b,3.16269700,7.13000,2.570,
2242,Kepler-203,c,Kepler-203 c,5.37064700,749.90000,2.470,
2243,Kepler-203,d,Kepler-203 d,11.32972000,33.90000,1.440,
2244,Kepler-204,b,Kepler-204 b,14.40097400,6.94000,2.530,
2245,Kepler-204,c,Kepler-204 c,25.66059300,3.86000,1.790,
2246,Kepler-205,b,Kepler-205 b,2.75564000,2.89000,1.510,672
2247,Kepler-205,c,Kepler-205 c,20.30654600,3.33000,1.640,345
2248,Kepler-206,b,Kepler-206 b,7.78198700,1.87000,1.200,
2249,Kepler-206,c,Kepler-206 c,13.13747100,3.78000,1.770,
2250,Kepler-206,d,Kepler-206 d,23.44281000,1.81000,1.190,
2251,Kepler-207,b,Kepler-207 b,1.61186500,3.09000,1.570,
2252,Kepler-207,c,Kepler-207 c,3.07157100,2.86000,1.500,
2253,Kepler-207,d,Kepler-207 d,5.86807500,11.00000,3.310,
2254,Kepler-208,b,Kepler-208 b,4.22864000,3.29000,1.630,
2255,Kepler-208,c,Kepler-208 c,7.46662300,2.51000,1.390,
2256,Kepler-208,d,Kepler-208 d,11.13178600,1.87000,1.200,
2257,Kepler-208,e,Kepler-208 e,16.25945800,2.79000,1.480,
2258,Kepler-209,b,Kepler-209 b,16.08784500,5.73000,2.260,
2259,Kepler-209,c,Kepler-209 c,41.74988200,9.80000,3.100,
2260,Kepler-21,b,Kepler-21 b,2.78578000,5.08000,1.639,2025
2261,Kepler-210,b,Kepler-210 b,2.45323400,8.96000,2.940,734
2262,Kepler-210,c,Kepler-210 c,7.97251300,12.80000,3.620,495
2263,Kepler-211,b,Kepler-211 b,4.13857500,2.13000,1.260,
2264,Kepler-211,c,Kepler-211 c,6.04045000,18.30000,1.290,
2265,Kepler-212,b,Kepler-212 b,16.25758200,1.32000,1.090,
2266,Kepler-212,c,Kepler-212 c,31.80517400,7.95000,2.740,
2267,Kepler-213,b,Kepler-213 b,2.46236000,3.26000,1.620,
2268,Kepler-213,c,Kepler-213 c,4.82296200,6.08000,2.340,
2269,Kepler-214,b,Kepler-214 b,15.66054400,7.32000,2.610,
2270,Kepler-214,c,Kepler-214 c,28.77980000,5.18000,2.130,
2271,Kepler-215,b,Kepler-215 b,9.36067200,3.26000,1.620,
2272,Kepler-215,c,Kepler-215 c,14.66710800,3.78000,1.770,
2273,Kepler-215,d,Kepler-215 d,30.86442300,23.60000,2.390,
2274,Kepler-215,e,Kepler-215 e,68.16101000,3.71000,1.750,
2275,Kepler-216,b,Kepler-216 b,7.69364100,6.12000,2.350,
2276,Kepler-216,c,Kepler-216 c,17.40666900,9.48000,3.040,
2277,Kepler-217,b,Kepler-217 b,5.37494300,5.60000,2.230,
2278,Kepler-217,c,Kepler-217 c,8.58600400,4.08000,1.850,
2279,Kepler-217,d,Kepler-217 d,3.88689525,2.30000,1.320,
2280,Kepler-218,b,Kepler-218 b,3.61933700,2.79000,1.480,
2281,Kepler-218,c,Kepler-218 c,44.69957600,10.00000,3.140,
2282,Kepler-218,d,Kepler-218 d,124.52446470,7.56000,2.660,
2283,Kepler-219,b,Kepler-219 b,4.58551200,9.01000,2.950,
2284,Kepler-219,c,Kepler-219 c,22.71461300,12.50000,3.580,
2285,Kepler-219,d,Kepler-219 d,47.90364500,19.10000,2.810,
2286,Kepler-22,b,Kepler-22 b,289.86230000,36.00000,2.380,262
2287,Kepler-220,b,Kepler-220 b,4.15980700,0.45700,0.810,
2288,Kepler-220,c,Kepler-220 c,9.03419900,3.09000,1.570,
2289,Kepler-220,d,Kepler-220 d,28.12239700,0.90400,0.980,
2290,Kepler-220,e,Kepler-220 e,45.90273300,2.33000,1.330,
2291,Kepler-221,b,Kepler-221 b,2.79590600,3.57000,1.710,
2292,Kepler-221,c,Kepler-221 c,5.69058600,15.10000,2.930,
2293,Kepler-221,d,Kepler-221 d,10.04156000,7.90000,2.730,
2294,Kepler-221,e,Kepler-221 e,18.36991700,7.41000,2.630,
2295,Kepler-222,b,Kepler-222 b,3.93698100,10.10000,3.160,
2296,Kepler-222,c,Kepler-222 c,10.08881000,19.40000,4.640,
2297,Kepler-222,d,Kepler-222 d,28.08191200,13.20000,3.690,
2298,Kepler-223,b,Kepler-223 b,7.38449000,7.40000,2.990,
2299,Kepler-223,c,Kepler-223 c,9.84564000,5.10000,3.440,
2300,Kepler-223,d,Kepler-223 d,14.78869000,8.00000,5.240,
2301,Kepler-223,e,Kepler-223 e,19.72567000,4.80000,4.600,
2302,Kepler-224,b,Kepler-224 b,3.13292400,2.51000,1.390,
2303,Kepler-224,c,Kepler-224 c,5.92500300,9.91000,3.120,
2304,Kepler-224,d,Kepler-224 d,11.34939300,5.90000,2.300,
2305,Kepler-224,e,Kepler-224 e,18.64357700,4.54000,1.970,
2306,Kepler-225,b,Kepler-225 b,6.73897500,1.87000,1.200,465
2307,Kepler-225,c,Kepler-225 c,18.79423400,4.04000,1.840,330
2308,Kepler-226,b,Kepler-226 b,3.94099700,24.00000,1.550,
2309,Kepler-226,c,Kepler-226 c,5.34955500,45.20000,2.270,
2310,Kepler-226,d,Kepler-226 d,8.10904400,1.98000,1.220,
2311,Kepler-227,b,Kepler-227 b,9.48801500,9.85000,3.110,
2312,Kepler-227,c,Kepler-227 c,54.41869400,9.48000,3.040,
2313,Kepler-228,b,Kepler-228 b,2.56654600,2.96000,1.530,
2314,Kepler-228,c,Kepler-228 c,4.13444400,7.75000,2.700,
2315,Kepler-228,d,Kepler-228 d,11.09428600,15.40000,4.040,
2316,Kepler-229,b,Kepler-229 b,6.25297200,5.48000,2.200,
2317,Kepler-229,c,Kepler-229 c,16.06863800,21.50000,4.920,
